[2020-07-09 14:40:50,997] - INFO: 获取设备名成功...
[2020-07-09 14:40:51,064] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 14:40:51,065] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 14:40:51,075] - INFO: desired_caps更新完成...
[2020-07-09 14:40:51,081] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 14:40:51,364] - INFO: 应用已安装...
[2020-07-09 14:40:51,873] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 14:41:01,670] - INFO: 驱动app打开成功...
[2020-07-09 14:41:32,255] - INFO: 登录成功，进入首页...
[2020-07-09 14:41:32,259] - INFO: 验证批量启动设备
[2020-07-09 14:42:13,521] - ERROR: 获取可视元素失败：Message: 

[2020-07-09 14:42:13,997] - INFO: ========测试完成========
[2020-07-09 14:42:41,730] - INFO: ========初始化测试环境========
[2020-07-09 14:42:41,911] - INFO: 获取设备系统版本号成功...
[2020-07-09 14:42:41,967] - INFO: 获取设备名成功...
[2020-07-09 14:42:42,042] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 14:42:42,043] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 14:42:42,054] - INFO: desired_caps更新完成...
[2020-07-09 14:42:42,059] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 14:42:42,954] - INFO: 应用已安装...
[2020-07-09 14:42:43,495] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 14:42:52,367] - INFO: 驱动app打开成功...
[2020-07-09 14:43:23,414] - INFO: 登录成功，进入首页...
[2020-07-09 14:43:23,419] - INFO: 验证批量启动设备
[2020-07-09 14:43:58,827] - ERROR: 获取可视元素失败：Message: 

[2020-07-09 14:43:59,192] - INFO: ========测试完成========
[2020-07-09 16:30:06,085] - INFO: ========初始化测试环境========
[2020-07-09 16:30:06,296] - INFO: 获取设备系统版本号成功...
[2020-07-09 16:30:06,343] - INFO: 获取设备名成功...
[2020-07-09 16:30:06,641] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 16:30:06,643] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 16:30:06,676] - INFO: desired_caps更新完成...
[2020-07-09 16:30:06,688] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 16:30:07,014] - INFO: 应用已安装...
[2020-07-09 16:30:07,903] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 16:30:18,461] - INFO: 驱动app打开成功...
[2020-07-09 16:30:49,752] - INFO: 登录成功，进入首页...
[2020-07-09 16:30:49,763] - INFO: 验证批量启动设备
[2020-07-09 16:31:26,289] - ERROR: 获取可视元素失败：Message: 

[2020-07-09 16:31:27,023] - INFO: ========测试完成========
[2020-07-09 16:32:37,024] - INFO: ========初始化测试环境========
[2020-07-09 16:32:37,204] - INFO: 获取设备系统版本号成功...
[2020-07-09 16:32:37,269] - INFO: 获取设备名成功...
[2020-07-09 16:32:37,343] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 16:32:37,343] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 16:32:37,356] - INFO: desired_caps更新完成...
[2020-07-09 16:32:37,363] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 16:32:37,708] - INFO: 应用已安装...
[2020-07-09 16:32:38,371] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 16:32:48,161] - INFO: 驱动app打开成功...
[2020-07-09 16:33:18,511] - INFO: 登录成功，进入首页...
[2020-07-09 16:33:18,516] - INFO: 验证批量启动设备
[2020-07-09 16:33:37,457] - INFO: ========测试完成========
[2020-07-09 16:37:00,532] - INFO: ========初始化测试环境========
[2020-07-09 16:37:00,696] - INFO: 获取设备系统版本号成功...
[2020-07-09 16:37:00,756] - INFO: 获取设备名成功...
[2020-07-09 16:37:00,827] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 16:37:00,828] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 16:37:00,839] - INFO: desired_caps更新完成...
[2020-07-09 16:37:00,845] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 16:37:01,210] - INFO: 应用已安装...
[2020-07-09 16:37:01,767] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 16:37:10,531] - INFO: 驱动app打开成功...
[2020-07-09 16:37:42,712] - INFO: 登录成功，进入首页...
[2020-07-09 16:37:42,718] - INFO: 验证批量启动设备
[2020-07-09 16:38:16,447] - INFO: ========测试完成========
[2020-07-09 16:47:44,702] - INFO: ========初始化测试环境========
[2020-07-09 16:47:44,846] - INFO: 获取设备系统版本号成功...
[2020-07-09 16:47:44,899] - INFO: 获取设备名成功...
[2020-07-09 16:47:44,967] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 16:47:44,967] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 16:47:44,978] - INFO: desired_caps更新完成...
[2020-07-09 16:47:44,983] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 16:47:45,288] - INFO: 应用已安装...
[2020-07-09 16:47:45,868] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 16:47:54,405] - INFO: 驱动app打开成功...
[2020-07-09 16:48:26,423] - INFO: 登录成功，进入首页...
[2020-07-09 16:48:26,424] - INFO: 验证批量修改设备
[2020-07-09 16:48:51,899] - INFO: 验证批量启动设备
[2020-07-09 16:49:05,513] - INFO: ========测试完成========
